First name,Last name,Address,Address2,City,ZIP/Postal code,Abbreviation,First name,Last name,Address,Address2,City,ZIP/Postal code,Abbreviation,weight,phone num1,phone num2,order num,Item-sku,Tracking NO
,,,,,,,,,,,,,,,,1,912003363866031-8673767130,RCW-CUTBO-S,1ZJ74F69YW98818524
,,,,,,,,,,,,,,,,,,RCW-CUTBO-M,1ZJ74F69YW98818524
,,,,,,,,,,,,,,,,,,RCW-CUTBO-L,1ZJ74F69YW98818524
,,,,,,,,,,,,,,,,1,111-3305888-3181063,4WELL-PR-BER-60,9400150206217615339255
,,,,,,,,,,,,,,,,,,4WELL-PR-BER-60,9400150206217615339255
,,,,,,,,,,,,,,,,,,4WELL-PR-BER-60,9400150206217615339255
,,,,,,,,,,,,,,,,1,111-0048324-0492247,4WELL-PR-BER-60,9400150106151153798628
,,,,,,,,,,,,,,,,,,4WELL-PR-BER-60,9400150106151153798628
,,,,,,,,,,,,,,,,1,111-8438624-2294622,4WELL-PR-BER-60,9400150206217615340336
,,,,,,,,,,,,,,,,,,4WELL-PR-BER-60,9400150206217615340336
,,,,,,,,,,,,,,,,1,112-5168302-7192251,4WELL-PR-BER-60,9400150206217615340992
,,,,,,,,,,,,,,,,,,4WELL-PR-BER-60,9400150206217615340992
,,,,,,,,,,,,,,,,1,113-3155538-1829831,4WELL-RES-180,9400150106151153798543
,,,,,,,,,,,,,,,,1,111-5911009-2453040,4WELL-RES-180,9400150106151153798666
,,,,,,,,,,,,,,,,1,112-6823431-3205054,4WELL-RES-180,9400150106151153798772
,,,,,,,,,,,,,,,,1,111-4807122-2745849,4WELL-RES-180,9400150106151153799250
,,,,,,,,,,,,,,,,1,112-1407553-3214607,4WELL-RES-180,9400150106151153799311
,,,,,,,,,,,,,,,,1,113-8736992-5255432,4WELL-RES-180,9400150106151153799373
,,,,,,,,,,,,,,,,1,113-9123234-6752204,4WELL-RES-180,9400150106151153799465
,,,,,,,,,,,,,,,,1,114-5862051-1571449,4WELL-RES-180,9400150106151153799755
,,,,,,,,,,,,,,,,1,112-2687479-1270634,4WELL-RES-180,9400150106151153799809
,,,,,,,,,,,,,,,,1,111-5375662-0729047,4WELL-RES-180,9400150106151153799847
,,,,,,,,,,,,,,,,2,111-3196388-8905852,4WELL-RES-180,9400150106151153800000
,,,,,,,,,,,,,,,,,,4WELL-RES-180,9400150106151153800000
,,,,,,,,,,,,,,,,1,111-2153076-3975468,4WELL-RES-180,9400150106151153800024
,,,,,,,,,,,,,,,,1,111-0814508-0149064,4WELL-RES-180,9400150106151153800581
,,,,,,,,,,,,,,,,1,113-1570437-8940216,4WELL-RES-180,9400150206217615339057
,,,,,,,,,,,,,,,,1,111-4889329-0844219,4WELL-RES-180,9400150206217615339156
,,,,,,,,,,,,,,,,1,113-8307097-3148218,4WELL-RES-180,9400150206217615339767
,,,,,,,,,,,,,,,,1,111-1235195-4305834,4WELL-RES-180,9400150206217615340022
,,,,,,,,,,,,,,,,1,112-8138308-3858623,4WELL-RES-180,9400150206217615340046
,,,,,,,,,,,,,,,,1,114-8962560-9559445,4WELL-RES-180,9400150206217615340107
,,,,,,,,,,,,,,,,1,112-4243353-5511418,4WELL-RES-180,9400150206217615340138
,,,,,,,,,,,,,,,,1,113-3791493-1299426,4WELL-RES-180,9400150206217615340183
,,,,,,,,,,,,,,,,1,114-3373647-0478660,4WELL-RES-180,9400150206217615340343
,,,,,,,,,,,,,,,,1,113-0203057-1872212,4WELL-RES-180,9400150206217615340923
,,,,,,,,,,,,,,,,1,111-2547557-9616230,4WELL-RES-90,9400150106151153798871
,,,,,,,,,,,,,,,,1,112-5979095-4504242,4WELL-RES-90,9400150106151153799069
,,,,,,,,,,,,,,,,1,114-1079829-6657822,4WELL-RES-90,9400150106151153799090
,,,,,,,,,,,,,,,,1,114-8266473-3411405,4WELL-RES-90,9400150106151153799120
,,,,,,,,,,,,,,,,1,112-7541717-2372259,4WELL-RES-90,9400150106151153799168
,,,,,,,,,,,,,,,,1,111-3834817-2794659,4WELL-RES-90,9400150106151153799175
,,,,,,,,,,,,,,,,1,111-4287519-5445833,4WELL-RES-90,9400150106151153799236
,,,,,,,,,,,,,,,,1,112-2089359-1099432,4WELL-RES-90,9400150106151153799342
,,,,,,,,,,,,,,,,1,114-0097970-5353862,4WELL-RES-90,9400150106151153799366
,,,,,,,,,,,,,,,,1,113-6391486-5813033,4WELL-RES-90,9400150106151153799397
,,,,,,,,,,,,,,,,1,113-8142321-0044250,4WELL-RES-90,9400150106151153799410
,,,,,,,,,,,,,,,,1,114-9694007-2217808,4WELL-RES-90,9400150106151153799472
,,,,,,,,,,,,,,,,1,114-4744036-3185815,4WELL-RES-90,9400150106151153799496
,,,,,,,,,,,,,,,,1,113-0302524-4882609,4WELL-RES-90,9400150106151153799526
,,,,,,,,,,,,,,,,1,112-0030405-1847435,4WELL-RES-90,9400150106151153799540
,,,,,,,,,,,,,,,,1,112-1874851-7380259,4WELL-RES-90,9400150106151153799571
,,,,,,,,,,,,,,,,1,112-9702453-8867469,4WELL-RES-90,9400150106151153799663
,,,,,,,,,,,,,,,,1,111-9322802-6360212,4WELL-RES-90,9400150106151153799724
,,,,,,,,,,,,,,,,1,114-0044179-3190660,4WELL-RES-90,9400150106151153799854
,,,,,,,,,,,,,,,,1,113-4502425-1769052,4WELL-RES-90,9400150106151153799922
,,,,,,,,,,,,,,,,1,114-6559656-6613056,4WELL-RES-90,9400150106151153799960
,,,,,,,,,,,,,,,,1,111-9266030-9792238,4WELL-RES-90,9400150106151153799977
,,,,,,,,,,,,,,,,1,114-0560523-7105008,4WELL-RES-90,9400150106151153800017
