First name,Last name,Address,Address2,City,ZIP/Postal code,Abbreviation,First name,Last name,Address,Address2,City,ZIP/Postal code,Abbreviation,weight,phone num1,phone num2,order num,Item-sku,Tracking NO
,,,,,,,,,,,,,,,,T g ,577324732369113693,G-1012-4LB,1ZH470X80338667247
,,,,,,,,,,,,,,,,T g ,577324794081153481,G-1012-4LB,1ZH470X80335794669
,,,,,,,,,,,,,,,,T g ,577324897916523337,G-1011-4LW,1ZH470X80339055656
,,,,,,,,,,,,,,,,T g ,577325121199378497,HPXL-GRN,1ZH470X80322993432
,,,,,,,,,,,,,,,,T 4well,577324664106750797,4WELL-PR-DIM-30,9200190394226826491708
,,,,,,,,,,,,,,,,T 4well,577324731616432513,4WELL-RES-90,9200190394226826491715
,,,,,,,,,,,,,,,,T 4well,577325581430002572,4WELL-RES-90,9200190394226826506174
,,,,,,,,,,,,,,,,T 4well,577325706892448066,4WELL-PR-SPM-60,9200190394226826506167
,,,,,,,,,,,,,,,1,T rcw ,577324481877676649,RCW-WRPDISP-2,1ZH6K8840335642751
,,,,,,,,,,,,,,,1,T rcw ,577324492360356858,RCW-WRPDISP-2,1ZH6K8840324345978
,,,,,,,,,,,,,,,1,T rcw ,577324524798776143,RCW-WRPDISP-2,1ZH6K8840315955684
,,,,,,,,,,,,,,,1,T rcw ,577324557939676066,RCW-WRPDISP-2,1ZH6K8840332722965
,,,,,,,,,,,,,,,1,T rcw ,577324620404855427,RCW-WRPDISP-2,1ZH6K8840320694732
,,,,,,,,,,,,,,,1,T rcw ,577324654130860745,RCW-WRPDISP-2,1ZH6K8840301604856
,,,,,,,,,,,,,,,1,T rcw ,577324689499656669,RCW-KNFSTNK-W6G1,1ZH4880D0320692612
,,,,,,,,,,,,,,,1,T rcw ,577324708217000586,RCW-KNFSTNK-W6G1,1ZH4880D0336597624
,,,,,,,,,,,,,,,1,T rcw ,577324712241107567,RCW-WRPDISP-2,1ZH6K8840315648266
,,,,,,,,,,,,,,,1,T rcw ,577324755990188109,RCW-CAD-GRAY,1ZH6K8840321306837
,,,,,,,,,,,,,,,1,T rcw ,577324756741099813,RCW-WRPDISP-2,1ZH6K8840339615783
,,,,,,,,,,,,,,,1,T rcw ,577324763955040903,RCW-WRPDISP-2,1ZH6K8840306749647
,,,,,,,,,,,,,,,1,T rcw ,577324784522072712,RCW-WRPDISP-2,1ZH6K8840338356396
,,,,,,,,,,,,,,,1,T rcw ,577324801949012725,RCW-WRPDISP-2,1ZH6K8840307923876
,,,,,,,,,,,,,,,1,T rcw ,577324876003840817,RCW-WRPDISP-2,1ZH6K8840333121344
,,,,,,,,,,,,,,,1,T rcw ,577325252247851030,RCW-KNFSTNK-W6G1,1ZH4880D0336719037
,,,,,,,,,,,,,,,1,T rcw ,577325259789013475,RCW-CAD-BRW,1ZH6K8840324746017
,,,,,,,,,,,,,,,1,T rcw ,577325337388094286,RCW-CAD-BRW,1ZH6K8840332043029
,,,,,,,,,,,,,,,1,T rcw ,577325431658025512,RCW-CAD-BRW,1ZH6K8840320711801
,,,,,,,,,,,,,,,1,T rcw ,577325479964807741,RCW-CAD-BRW,1ZH6K8840317347695
,,,,,,,,,,,,,,,1,T rcw ,577325605839867988,RCW-KNFSTNK-W6G1,1ZH4880D0335952849
,,,,,,,,,,,,,,,1,T rcw ,577325737688011279,RCW-KNFSTNK-W6G1,1ZH4880D0318720014
